#######################
##### DEMOCRACIES #####
#######################
# Mayor
democracy = {
	servants = yes
	high_nobility = yes
	low_nobility = yes
	burgher = yes
	loremaster = yes
	fundamentalist = yes
	
	election = yes
	duration = 48
	appoint_ruling_party = no
	flagType = republic
}

# Special democracy for Ents of Fangorn
# Lord
ent_realm = {
	high_nobility = yes
	low_nobility = yes
	burgher = yes
	fundamentalist = yes
	loremaster = yes
	
	election = yes
	duration = 48
	appoint_ruling_party = no
	flagType = republic
}

######################
##### MONARCHIES #####
######################
# King
monarchy = {
	high_nobility = yes
	low_nobility = yes
	burgher = yes
	fundamentalist = yes
	loremaster = yes
	
	election = no
	appoint_ruling_party = yes
	flagType = monarchy
}

# Steward
stewardship = {
	high_nobility = yes
	low_nobility = yes
	burgher = yes
	fundamentalist = yes
	loremaster = yes
	
	election = no
	appoint_ruling_party = yes
	flagType = monarchy
}

# Prince
principality = {
	high_nobility = yes
	low_nobility = yes
	burgher = yes
	fundamentalist = yes
	loremaster = yes
	
	election = no
	appoint_ruling_party = yes
	flagType = monarchy
}

# Lord
fiefdom = {
	high_nobility = yes
	low_nobility = yes
	burgher = yes
	fundamentalist = yes
	loremaster = yes
	
	election = no
	appoint_ruling_party = yes
	flagType = monarchy
}

# Special monarchy for Lothlorien
# Lord and Lady
galadhrim_monarchy = {
	high_nobility = yes
	low_nobility = yes
	burgher = yes
	fundamentalist = yes
	loremaster = yes
	
	election = no
	appoint_ruling_party = yes
	flagType = monarchy
}

# Lord
imladris_monarchy = {
	high_nobility = yes
	low_nobility = yes
	burgher = yes
	fundamentalist = yes
	loremaster = yes
	
	election = no
	appoint_ruling_party = yes
	flagType = monarchy
}

#########################
##### DICTATORSHIPS #####
#########################
# Not necessarily evil

# Special government for realms lead by Sauron
# Dark Lord
sauron_dictatorship = {
	servants = yes
	
	election = no
	appoint_ruling_party = yes
}

# Special government for realms lead by a Nazgul
# Lord
nazgul_dictatorship = {
	servants = yes
	
	election = no
	appoint_ruling_party = yes
}

# Special government for realms lead by a Wizard
# Lord
istari_kingdom = {
	high_nobility = yes
	low_nobility = yes
	burgher = yes
	fundamentalist = yes
	loremaster = yes
	
	election = no
	appoint_ruling_party = yes
}

##################
##### TRIBAL #####
##################
# Chieftain
goblin_tribe = {
	servants = yes
	
	election = no
	appoint_ruling_party = yes
}

# Chief
man_tribe = {
	high_nobility = yes
	low_nobility = yes
	burgher = yes
	fundamentalist = yes
	loremaster = yes
	
	election = no
	appoint_ruling_party = yes
}
