LEDGER_COUNTRY_NAME;Country;Pays;Land;;País;;;;;;;;;x;;;;
LEDGER_COUNTRY_MILSCORE;Military Score;Score militaire;Militär;;Puntuación militar;;;;;;;;;x;;;;
LEDGER_COUNTRY_INDSCORE;Industrial Score;Score industriel;Industrie;;Puntuación industrial;;;;;;;;;x;;;;
LEDGER_COUNTRY_PRESTIGE;Prestige;Prestige;Prestige;;Prestigio;;;;;;;;;x;;;;
LEDGER_COUNTRY_TOTALSCORE;Total Score;Score total;Gesamtpunktzahl;;Puntuación total;;;;;;;;;x;;;;
LEDGER_HEADER_PROVINCES;Provinces;Provinces;Provinzen;;Provincias;;;;;;;;;x;;;;
LEDGER_PROVINCE_NAME;Province;Province;Provinz;;Provincia;;;;;;;;;x;;;;
LEDGER_PROVINCE_TOTALPOP;Total pop.;Popul. tot.;Gesamtbevölk.;;Pob. total;;;;;;;;;x;;;;
LEDGER_PROVINCE_AVGMIL;Avg. Mil.;Milit. moy.;Durchschn. Mil.;;Mil. media;;;;;;;;;x;;;;
LEDGER_PROVINCE_AVGCON;Avg. Con.;Consc. moy.;Durchschn. Bew.;;Con. media;;;;;;;;;x;;;;
LEDGER_PROVINCE_AVGLIT;Avg. Lit.;Alphab. moy.;Durchschn. Alph.;;Alf. media;;;;;;;;;x;;;;
LEDGER_PROVINCE_CULTURE;Culture;Culture;Kultur;;Cultura;;;;;;;;;x;;;;
LEDGER_PROVINCE_ISSUE;Issue;Position politique;Thema;;Tema;;;;;;;;;x;;;;
LEDGER_PROVINCE_IDEOLOGY;Ideology;Idéologie;Ideologie;;Ideología;;;;;;;;;x;;;;
LEDGER_HEADER_PROVINCE_POPS;Province population;Population de la province;Provinzbevölkerung;;Población de la provincia;;;;;;;;;x;;;;
LEDGER_HEADER_ARMY;Armies;Armées;Armeen;;Ejércitos;;;;;;;;;x;;;;
LEDGER_ARMY_NAME;Army;Armée;Armee;;Ejército;;;;;;;;;x;;;;
LEDGER_ARMY_INFANTRY;Infantry;Infanterie;Infanterie;;Infantería;;;;;;;;;x;;;;
LEDGER_ARMY_CAVALRY;Cavalry;Cavalerie;Kavallerie;;Caballería;;;;;;;;;x;;;;
LEDGER_ARMY_ARTILLERY;Artillery;Artillerie;Artillerie;;Artillería;;;;;;;;;x;;;;
LEDGER_HEADER_GOODS_PRICEHISTORY;Price history;Historique des prix;Preisverlauf;;Historial de precios;;;;;;;;;x;;;;
LEDGER_COUNTRY_STATUS;Status;Statut;Status;;Estatus;;;;;;;;;x;;;;
LEDGER_HEADER_COUNTRYCOMPARE;National Comparison;Comparaison nationale;Nationaler Vergleich;;Comparativa de naciones;;;;;;;;;x;;;;
LEDGER_COUNTRY_TOTAL_POP;Total pop.;Popul. tot.;Gesamtbevölk.;;Pob. total;;;;;;;;;x;;;;
LEDGER_COUNTRY_PROVCOUNT;Provinces;Provinces;Provinzen;;Provincias;;;;;;;;;x;;;;
LEDGER_COUNTRY_FACTORYCOUNT;Factories;Usines;Fabriken;;Fábricas;;;;;;;;;x;;;;
LEDGER_COUNTRY_LITERACY;Literacy;Alphabétisation;Alphabetisierung;;Alfabetización;;;;;;;;;x;;;;
LEDGER_COUNTRY_LEADERSHIP;Leadership;Commandement;Anführerschaft;;Liderazgo;;;;;;;;;x;;;;
LEDGER_COUNTRY_DIVISIONS;Brigades;Régiments;Divisionen;;Brigadas;;;;;;;;;x;;;;
LEDGER_COUNTRY_SHIPS;Ships;Navires;Schiffe;;Barcos;;;;;;;;;x;;;;
LEDGER_HEADER_COUNTRYPARTY;Political systems;Systèmes politiques;Politische Systeme;;Sistemas políticos;;;;;;;;;x;;;;
