DIPLOMACY_AI_ACCEPTANCE;§Y$COUNTRY$§W's response: §Y$ODDS$§W;;§Y$COUNTRY$§Ws Antwort: §Y$ODDS$§W;;;;;;;;x;;;
TOO_SOON_FOR_REFORM;We have to wait until §Y$DATE$§W until we can enact another reform.;;Wir mussen bis §Y$DATE$§W warten, bevor wir eine weitere Reform erlassen konnen.;;;;x;;;;;;;
SIEGE_EXTRA_ATTR;§R+$VAL$%§W attrition from resistance to the occupation;;§R+$VAL$%§W Zermurbung durch Widerstand gegen die Besetzung;;;;x;;;;;;;
NO_SEPARATE_PEACE_CRISIS;We cannot negotiate separate peace in a crisis war;;Wir konnen in einem Konfliktkrieg keinen separaten Frieden verhandeln ;;;;;;;;;;;x
CRISIS_RESOLUTION_EFFECTS;Resolving the crisis in this way will give you $VAL$ prestige.;;Die Beilegung des Konflikts auf diese Weise wird Euch $VAL$ Prestige geben.;;;;;;;;;;;x
CRISIS_RESOLUTION_RELATIONS;Relations with the following countries will change:;;Die Beziehungen mit folgenden Landern werden sich andern:;;;;;;;;;;;x
SIEGE;Siege;;Belagerung;;;;;;;;;;;x
TRANSFER_SUB_ALL;§GShift + LMB? to transfer all of the same type.;;§GUmschalttaste + LMT?, um alle vom selben Typ zu transferieren.;;;;x;;;;;;;
OBSOLETE_UNIT_TECH;§Y$UNIT$§W was made obsolete by §Y$TECH$§W;;§Y$UNIT$§W wurde durch §Y$TECH$§W hinfallig;;;;;;;;;;;x
ARMY_RECON_TOOLTIP;Recon Efficiency: §Y$VAL$?%;;Aufklarungs-Effizienz: §Y$VAL$?%;;;;;;;;;;;x
ARMY_RECON_DELAYED_TOOLTIP;Recon Efficiency is the ability of this army's scouts to reduce the dig-in bonus of enemy armies and speed up sieges.\n\nThis army contains §Y$RECONUNITS$? recon brigades out of a needed §Y$RECONMAXUNITS$?, giving it a Recon Efficiency of §Y$VAL$%?.;;Aufklarungs-Effizienz ist die Fahigkeit der Spaher dieser Armee, den Eingraben-Bonus feindlicher Armeen zu reduzieren und Belagerungen zu beschleunigen.\n\nDiese Armee enthalt §Y$RECONUNITS$? Aufklarungs-Einheiten von benotigten §Y$RECONMAXUNITS$? und gibt eine Aufklarungs-Effizienz von §Y$VAL$%?.;;;;;;;;;;;x
ARMY_ENGINEER_TOOLTIP;Siege Efficiency: §Y$VAL$?%;;Belagerungs-Effizienz: §Y$VAL$?%;;;;;;;;;;;x
ARMY_ENGINEER_DELAYED_TOOLTIP;Siege Efficiency is the ability of this army's engineers and tanks to reduce the effectiveness of enemy forts when attacking and sieging.\n\nThis army contains §Y$ENGINEERUNITS$? engineer and tank brigades out of a needed §Y$ENGINEERMAXUNITS$?, giving it a Siege Efficiency of §Y$VAL$%?.;;Die Belagerungs-Effizienz ist die Fahigkeit der Ingenieure und Panzer dieser Armee, die Effektivitat feindlicher Festungen bei Angriffen und Belagerungen zu reduzieren.\n\nDiese Armee enthalt §Y$ENGINEERUNITS$? Ingenieurs- und Panzereinheiten von benotigten §Y$ENGINEERMAXUNITS$? und gibt eine Belagerungs-Effizienz von §Y$VAL$%?.;;;;;;;;;;;x
TENSION_DECAY;Base Decay: §Y$VAL$?;;Basis-Zerfall: §Y$VAL$?;;;;;;;;;;;x
