################;x
##### CB'S #####;x {
################;x
take_one_ring;Acquire the One Ring;x
take_one_ring_short;Take the One Ring from §Y$RECIPIENT$§!;x
take_one_ring_setup;Take the One Ring from §Y$RECIPIENT$§!;x
take_one_ring_desc;Take the One Ring from a §Yrealm§!;x
war_of_the_ring_cb;War of the Ring;x
war_of_the_ring_cb_short;Disarm and puppet (non-GP target) a realm.;x
war_of_the_ring_cb_setup;Disarm and puppet (non-GP target) a realm.;x
war_of_the_ring_cb_desc;Disarm and puppet (non-GP target) a realm.;x
add_to_sphere;Add to Sphere;x
add_to_sphere_short;Add $RECIPIENT$ to Sphere of Influence;x
add_to_sphere_setup;Add $RECIPIENT$ to Sphere of Influence;x
add_to_sphere_desc;Add a realm to our §YSphere of Influence§!;x
take_from_sphere;Take from sphere of influence;x
take_from_sphere_short;Take $THIRD$ from sphere of influence;x
take_from_sphere_setup;Take $THIRD$ from $RECIPIENT$'s sphere of influence;x
take_from_sphere_desc;Remove a realm from someone's §YSphere of Influence§! and add it to our own;x
change_alignment;Change Alignment;x
change_alignment_short;Change the alignment of $RECIPIENT$;x
change_alignment_setup;Change the alignment of $RECIPIENT$ to ours;x
change_alignment_desc;Change the alignment of a §Yrealm§!;x
staus_quo;Status Quo;x
status_quo_short;Status Quo;x
status_quo_setup;All we ask is to be left alone;x
status_quo_desc;Attempt to intervene in a war, neglecting any side to fulfill their §Ywargoals§!;x
gunboat;Repay Debts;x
gunboat_desc;Force them to resume repayment of their debts to us.;x
gunboat_setup;Will force them to honor their debts to us.;x
gunboat_short;Repay Debts;x
conquest;Conquest;x
conquest_setup;Annex $RECIPIENT$;x
conquest_short;Annex $RECIPIENT$;x
conquest_desc;Annex a single-state §Yrealm§!;x
civil_war;Civil War;Guerre civile;x
civil_war_desc;Your realm is in a state of civil war;x
civil_war_short;Unite the realm;x
civil_war_setup;End the war by reuniting our realm under a common banner again.;x
acquire_core_state;Acquire core;x
acquire_core_state_short;Acquire $STATE$;x
acquire_core_state_setup;Acquire core $STATE$ from $RECIPIENT$;x
acquire_core_state_desc;Aquire an enemy §Ystate§! where we have §Ycore provinces§!;x
annex_core_country;Restore Order;x
annex_core_country_short;Annex $RECIPIENT$;Annexer $RECIPIENT$;x
annex_core_country_setup;Annex $RECIPIENT$;Annexer $RECIPIENT$;x
annex_core_country_desc;Annex a foreign §Yrealm§! all provinces of which are your cores.;x
acquire_substate_region;Acquire substate region;x
acquire_substate_region_desc;Acquire a region from enemy §Ysubstate§!;x
acquire_substate_region_short;Acquire $STATE$;x
acquire_substate_region_setup;Acquire $STATE$ from $RECIPIENT$;x
acquire_state;Acquire state;x
acquire_state_short;Acquire $STATE$;x
acquire_state_setup;Acquire $STATE$ from $RECIPIENT$;x
acquire_state_desc;Aquire an enemy §Ystate§!;x
place_in_the_sun;Place in the sun;x
place_in_the_sun_short;Acquire $STATE$;x
place_in_the_sun_setup;Acquire territorial $STATE$ from $RECIPIENT$;x
place_in_the_sun_desc;Aquire an enemy §Yterritorial state§!;x
colonial_competition;Enforce territorial claim;x
colonial_competition_desc;Acquire a §Yterritorial region§!;x
colonial_competition_short;Acquire territory $REGION$;x
colonial_competition_setup;Acquire territory $REGION$;x
cut_down_to_size;Cut down to size;x
