MULTI_SEL_DESC;§GSHIFT+LMB§! to pick multiple units from current selection.;;§GSHIFT+LMT§!, um mehrere Einheiten in der momentanen Auswahl auszuwählen.;;;;;;;;x;;;;
SM_DETAILS;Details;;Details;;;;;;;;x;;;;
DISBAND_ALL;Disband all selected units;;Alle ausgewählten Einheiten auflösen;;;;;;;;x;;;;
DISBAND_ALL_TITLE;Disband all units;;Alle Einheiten auflösen;;;;;;;;x;;;;
DISBAND_ALL_DESC;Are you sure that you want to §RDISBAND§! §Y$NUM$§! units?;;Seid Ihr sicher, dass Ihr §Y$NUM$§! Einheiten §RAUFLÖSEN§! wollt?;;;;;;;;x;;;;
DATE_DIFF_A;$Y$ years, $M$ months and $D$ days;;$Y$ Jahre, $M$ Monat) und $D$ Tage;;;;;;;;x;;;;
DATE_DIFF_B;$M$ months and $D$ days;;$M$ Monate und $D$ Tage;;;;;;;;x;;;;
DATE_DIFF_C;$D$ days;;$D$ Tage;;;;;;;;x;;;;
torpedo_attacks;Torpedo Attacks;;Torpedo-Angriffe;;;;;;;;x;;;;
TORPEDO_ATTACK;Torpedo Attack;;Torpedo-Angriff;;;;;;;;x;;;;
TORPEDO_ATTACK_DESC;Torpedo attacks do extra damage against larger ships.;;Torpedo-Angriffe richten gegen größere Schiffe mehr Schaden an.;;;;;;;;x;;;;
NAVAL_COMBAT_STACK_PENALTY_DESC;§YCoordination penalty §R$PEN$%§Y caused by poor communication in the fleet, it makes it more difficult for our ships to find targets. Affected by amount of our ships and potential targets.§!;;§YKoordinations-Malus §R$PEN$%§Y, der durch mangelhafte Kommunikation in der Flotte verursacht wird, wodurch es für unsere Schiffe schwieriger ist, Ziele zu finden. Wird durch die Schiffsanzahl und mögliche Ziele beeinflusst.§!;;;;;;;;x;;;;
BP_TAB_CURRENT;Current Plans;;Aktuelle Pläne;;;;;;;;;;x;;
BP_TAB_HISTORICAL;Historical Plans;;Historische Pläne;;;;;;;;;;x;;
BP_TOOL_COLOR_RED;Red;;Rot;;;;;;;;;;x;;
BP_TOOL_COLOR_GREEN;Green;;Grün;;;;;;;;;;x;;
BP_TOOL_COLOR_BLUE;Blue;;Blau;;;;;;;;;;x;;
BP_TOOL_COLOR_YELLOW;Yellow;;Gelb;;;;;;;;;;x;;
