;;;;;;;;;;;;;x
PROV1;Eastern Firienholt;;;;;;;;;;;;;x
PROV2;Imardhath;;;;;;;;;;;;;x
PROV3;Western Anórien;;;;;;;;;;;;;x
PROV4;Calenhad;;;;;;;;;;;;;x
PROV5;Ost Rimmon;;;;;;;;;;;;;x
PROV6;Astorian;;;;;;;;;;;;;x
PROV7;Parth Lisc;;;;;;;;;;;;;x
PROV8;Cirithost;;;;;;;;;;;;;x
PROV9;Cair Andros;;;;;;;;;;;;;x
PROV10;Druadan Forest;;;;;;;;;;;;;x
PROV11;Eilenach;;;;;;;;;;;;;x
PROV12;Parth Forant;;;;;;;;;;;;;x
PROV13;West Osgiliath;;;;;;;;;;;;;x
PROV14;Rammas Echor;;;;;;;;;;;;;x
PROV15;Minas Tirith;;;;;;;;;;;;;x
PROV16;Pelennor Fields;;;;;;;;;;;;;x
PROV17;Pelennor-Anduin Shore;;;;;;;;;;;;;x
PROV18;Harlond;;;;;;;;;;;;;x
PROV19;Southern Rammas Echor;;;;;;;;;;;;;x
GON_1;Far Anórien;;;;;;;;;;;;;x
GON_6;Talath Anór;;;;;;;;;;;;;x
GON_14;Old Anórien;;;;;;;;;;;;;x
