###########################;x
##### BASIC POPS TEXT #####;x {
###########################;x
TOPBAR_POPULATION;Our total population is $CURR$. Our total population has changed by $CHANGE$ in last $DAYS$ days.;x
NO_MIGRATIONS_FOUND1_TOOLTIP;Province belongs to: §Y$COUNTRY$§!;x
EMIGRATION_AT_PROVINCE_TOOLTIP;(§R$TOTALEMI$§!) §YEmigrations to:§!\n$EMILIST$\n(§G$TOTALIMM$§!) §YImmigrations from:§!\n$IMMLIST$;x
EMIGRATION_ENTRY_TOOLTIP;§R$NUM$§! to §Y$PROV$§!;x
IMMIGRATION_ENTRY_TOOLTIP;§G$NUM$§! from §Y$PROV$§!;x
UNIT_PRICE;Unit price: §R$VAL$§!;x
###################;x }
##### POPTYES #####;x {
###################;x
aristocrats;Nobles;x
artisans;Independent Artisans;x
bankers;Banker;x
bureaucrats;Bureaucrats;x
capitalists;Guild Masters;x
clergymen;Loremasters;x
craftsmen;Guild Artisans;x
labourers;Labourers;Mineurs;Arbeiter;;Peones;x
slaves;Slaves;Esclaves;Sklaven;;Esclavos;x
soldiers;Soldiers;Soldats;Soldaten;;Soldados;x
tribals;Outlaws;x
##################;x }
##### STRATA #####;x {
##################;x
STRATA_POOR;Rural;x
STRATA_MIDDLE;Urban;x
STRATA_RICH;Nobility;x
