######################;x
##### CATEGORIES #####;x {
######################;x
army_tech;Army;x
infantry_tech;Infantry;x
archer_tech;Archers;x
cavalry_tech;Cavalry;x
artillery_tech;Artillery;x
military_theory_tech;Military Theory;x
fortifications;Fortifications;x
army_tactics;Army Tactics;x
training;Army Training;x
naval_theory;Naval Theory;x
navy_tech;Navy;x
merchant_marine;Merchant Marine;x
light_ships;Light Ships;x
heavy_ships;Heavy Ships;x
naval_construction;Naval Construction;x
commerce_tech;Commerce;x
farming_tech;Farming;x
mining_tech;Mining;x
guilds;Guilds;x
infrastructure_tech;Infrastructure;x
population_tech;Population;x
taxes;Taxes;x
population;Population Control;x
education;Education;x
magic;Magical Secrets;x
diplomacy_tech;Diplomacy;x
expansion;Expansion;x
diplomacy;Diplomacy;x
wilderness;Wilderness;x
culture;Culture;x
flavor_tech;Flavor;x
flavor_cat_1;Flavor;x
flavor_cat_2;Flavor;x
flavor_cat_3;Flavor;x
flavor_cat_4;Flavor;x
########################;x }
##### TECHNOLOGIES #####;x {
########################;x
infantry_tech_1;Infantry 1;x
infantry_tech_2;Infantry 2;x
infantry_tech_3;Infantry 3;x
infantry_tech_4;Infantry 4;x
infantry_tech_5;Infantry 5;x
archer_tech_1;Archers 1;x
archer_tech_2;Archers 2;x
archer_tech_3;Archers 3;x
archer_tech_4;Archers 4;x
archer_tech_5;Archers 5;x
cavalry_tech_1;Cavalry 1;x
cavalry_tech_2;Cavalry 2;x
cavalry_tech_3;Cavalry 3;x
cavalry_tech_4;Cavalry 4;x
cavalry_tech_5;Cavalry 5;x
artillery_tech_1;Artillery 1;x
artillery_tech_2;Artillery 2;x
artillery_tech_3;Artillery 3;x
artillery_tech_4;Artillery 4;x
artillery_tech_5;Artillery 5;x
fortifications_1;Fortifications 1;x
fortifications_2;Fortifications 2;x
fortifications_3;Fortifications 3;x
fortifications_4;Fortifications 4;x
fortifications_5;Fortifications 5;x
army_tactics_1;Army Tactics 1;x
army_tactics_2;Army Tactics 2;x
army_tactics_3;Army Tactics 3;x
army_tactics_4;Army Tactics 4;x
army_tactics_5;Army Tactics 5;x
training_1;Training 1;x
training_2;Training 2;x
training_3;Training 3;x
training_4;Training 4;x
training_5;Training 5;x
naval_theory_1;Naval Theory 1;x
naval_theory_2;Naval Theory 2;x
naval_theory_3;Naval Theory 3;x
naval_theory_4;Naval Theory 4;x
naval_theory_5;Naval Theory 5;x
merchant_marine_1;Merchant Marine 1;x
merchant_marine_2;Merchant Marine 2;x
merchant_marine_3;Merchant Marine 3;x
merchant_marine_4;Merchant Marine 4;x
