###########################;x
##### ARMY INVENTIONS #####;x {
###########################;x
standardised_infantry_equipment;Standardised Infantry Equipment;x
standardised_infantry_equipment_desc;Standardising the production output of our weapon and arour smiths will make their production more efficient.;x
competition_infantry;Competition Infantry;x
competition_infantry_desc;Tournaments have held competitions for infantry since men first equipped clubs. Melees were held, either with two competitors or a whole group, with the winners rewarded handsomely.;x
short_bows;Short Bows;x
short_bows_desc;The simple bow is a omnipresent tool in society with vast military potential.;x
recurve_bows;Recurve Bows;x
recurve_bows_desc;With limbs that curve, a recurve bow stores more energy and transfers energy more efficiently to arrows than straight bows.;x
barbed_arrows;Barbed Arrows;x
barbed_arrows_desc;Barbed arrows cut into the flesh and lacerate the skin, causing increased pain and bleeding to the victim pincushion.;x
standardised_archery_equipment;Standrdised Archery Equipment;x
standardised_archery_equipment_desc;Standardising the production output of our fletchers will make their production more efficient.;x
long_bows;Long Bows;
long_bows_desc;Longer and bigger bows enable greater force to be stored in the bow when drawing the bowstring, and thus greater power to be transferred to the arrow.;x
competition_archery;Competition Archery;x
competition_archery_desc;Tournaments have held competitions for archers since time the bow was first picked up. Bowmen with the best accuracy against targets were often rewarded lavishly.;x
composite_bows;Composite Bows;x
composite_bows_desc;As a devlopment of recurve bows, composite bows utilise two distinct materials in their construction, usually wood and horn. As the bowstring is drawn and stretched, and the horn on the bow is compressed, meaning greater energy can be stored in the bow and transferred to the arrow on release;x
bodkin_arrows;Bodkin Arrows;
bodkin_arrows_desc;Bodkin pointed arrows are a relatively simple squared metal spike designed primarily to pierce through mail armour, making them more effective against well-equipped foes.;x
war_bows;War Bows;x
war_bows_desc;War Bows are the peak evolution of long bow development.;x
war_arrows;War Arrows;x
war_arrows_desc;The pinnacle of arrow design and innovation.;x
fire_arrows;Fire Arrows;x
fire_arrows_desc;Specialised arrows can be opportunistically used to wreck havoc when sieging enemy fortresses;x
animal_husbandry;Animal Husbandry;x
animal_husbandry_desc;The use of pack and draft animals will make our farms significantly more efficient.;x
standardised_horse_rearing;Standardised Horse Rearing;x
standardised_horse_rearing_desc;Standardising the kinds of horses, whether they be destriers or coursers, that our farmers are producing will make the production more efficient.;x
competition_cavalry;Competition Cavalry;x
competition_cavalry_desc;Tournaments have held competitions for cavalry since man first rode. Jousts, pitting the finest horsemen against either other in fierce and deadly combat, were fought, with the winners rewarded handsomely.;x
standardised_artillery_construction;Standardised Artillery Construction;x
standardised_artillery_construction_desc;Standardising the production output of our artillery craftsmen will make their production more efficient.;x
competition_artillery;Competition Artillery;x
competition_artillery_desc;Engineering achievements must be rewarded and thus tournaments for the finest siege engines must be held to reward those in our service.;x
######################################;x }
##### MILITARY THEORY INVENTIONS #####;x {
######################################;x
###########################;x }
##### NAVY INVENTIONS #####;x {
###########################;x
shipbuilding;Shipbuilding;x
shipbuilding_desc;Commercial shipbuilding is key to ensuring a strong naval presence.;x
###############################;x }
##### COMMERCE INVENTIONS #####;x {
###############################;x
great_roads;Great Roads;x
great_roads_desc;The most well-traversed roads in Middle-Earth are known as "Great Roads". These roads are larger and more well maintained than other roads, allowing more goods to flow across them.;x
#################################;x }
##### POPULATION INVENTIONS #####;x {
#################################;x
scriptoriums;Scriptoriums;x
scriptoriums_desc;Scriptoriums are dedicated places for scholars to copy and share manuscripts.;x
magical_secrets;Magical Secrets;x
magical_secrets_desc;The world is awash with magical secrets of the past, what is there to discover in the world?;x
first_lesser_ring;A Lesser Ring;x
first_lesser_ring_desc;Before Sauron and Celebrimbor forged the One Ring, they created dozens or perhaps hundreds of lesser rings - essays in the craft of ring making to perfect their expertise. Acquiring one of these rings may prove fruitful.;x
palantiri;Palantiri;x
palantiri_desc;Palantiri, or the Seeing Stones, can be used to communicate instantly across the world. Most of the palantiri are lost, however, and even if we did have access to one, it would be dangerous to use it without knowing where the others were.;x
blue_wizards;Blue Wizards;x
blue_wizards_desc;There were originally fire Istari, Wizards, who came to Middle Earth. The Blue Wizards have not been seen for millenia since they journeyed east.;x
entwives;Entwives;x
entwives_desc;What became of the Entwives?;x
second_lesser_ring;Another Lesser Ring;x
second_lesser_ring_desc;Before Sauron and Celebrimbor forged the One Ring, they created dozens or perhaps hundreds of lesser rings - essays in the craft of ring making to perfect their expertise. Acquiring another one of these rings may prove fruitful.;x
silmarils;Silmarils;x
silmarils_desc;The three greatest gemstones of all time, the three Silmarils are lost - one casted down into the chasms of the earth, one lies at the depth of the ocean, one hangs in the sky as the Star of Eärendil.;x
magical_crafting;Magical Crafting;x
magical_crafting_desc;With great knowledge of the ancients, we can utilise magical auras and enchant our own artefacts, tools, and weapons.;x
magical_crafting_warriors;Enchanted Warriors' Weapons;x
magical_crafting_warriors_desc;Our warriors benefit from enchanted weapons and armour.;x
magical_crafting_craftsmen;Enchanted Guildsmen's Tools;x
magical_crafting_craftsmen_desc;Our craftsmen benefit from enchanted tools.;x
magical_crafting_workers;Enchanted Workers' Tools;x
magical_crafting_workers_desc;Our workers benefit from enchanted tools.;x
third_lesser_ring;Yet another Lesser Ring;x
third_lesser_ring_desc;Before Sauron and Celebrimbor forged the One Ring, they created dozens or perhaps hundreds of lesser rings - essays in the craft of ring making to perfect their expertise. Acquiring another one of these rings may prove fruitful.;x
################################;x }
##### DIPLOMACY INVENTIONS #####;x {
################################;x
all_that_is_gold;All that is gold does not glitter;x
all_that_is_gold_desc;All that is gold does not glitter, Not all those who wander are lost. The old that is strong does not wither, Deep roots are not reached by the frost.;x
seek_for_the_Sword;Seek for the Sword that was broken;x
seek_for_the_Sword_desc;Seek for the Sword that was broken: In Imladris it dwells. There shall be counsels taken Stronger than Morgul-spells. There shall be shown a token That Doom is near at hand, For Isildur's Bane shall waken, And the Halfling forth shall stand.;x 
roads_go_ever_ever_on;Roads go ever ever on;x
roads_go_ever_ever_on_desc;Roads go ever ever on, Over rock and under tree, By caves where never sun has shone, By streams that never find the sea. Over snow by winter sown, And through the merry flowers of June, Over grass and over stone, And under mountains in the moon.;x
song_of_nimrodel;Song of Nimrodel;x
song_of_nimrodel_desc;An Elven-maid there was of old, A shining star by day: Her mantle white was hemmed with gold, Her shoes of silver-grey.;x
walking_song;A Walking Song;x
walking_song_desc;Upon the hearth the fire is red, Beneath the roof there is a bed. But not yet weary are our feet, Still round the corner we may meet, A sudden tree or standing stone, That none have seen but we alone. Tree and flower and leaf and grass, Let them pass! Let them pass! Hill and water under sky, Pass them by! Pass them by!;x
man_in_the_moon_stayed_up_too_late;The Man in the Moon Stayed Up Too Late;x
man_in_the_moon_stayed_up_too_late_desc;There is an inn, a merry old inn, beneath an old grey hill, And there they brew a beer so brown, That the Man in the Moon himself came down One night to drink his fill.;x
man_in_the_moon_came_down_too_soon;The Man in the Moon Came Down Too Soon;x
man_in_the_moon_came_down_too_soon_desc;The Man in the Moon had silver shoon, And his beard was of silver thread; He was girt with pure gold and inaureoled, With gold about his head. Clad in silken robe in his great white globe, He opened an ivory door, With a crystal key, and in secrecy, He stole o'er a shadowy floor.;x
ring_verse;Ring Verse;x
ring_verse_desc;Three Rings for the Elven-kings under the sky, Seven for the Dwarf-lords in their halls of stone, Nine for Mortal Men doomed to die, One for the Dark Lord on his dark throne In the Land of Mordor where the Shadows lie. One Ring to rule them all, One Ring to find them, One Ring to bring them all, and in the darkness bind them, In the Land of Mordor where the Shadows lie.;x
hymn_to_elbereth;Elven Hymn to Elbereth;x
hymn_to_elbereth_desc; Snow-white! Snow-white! O Lady clear! O Queen beyond the Western Seas! O light to us that wander here Amid the world of woven trees!;x
to_the_bottle_i_go;Ho! Ho! Ho! To the Bottle I Go;x
to_the_bottle_i_go_desc;Ho! Ho! Ho! to the bottle I go, To heal my heart and drown my woe. Rain may fall and wind may blow, And many miles be still to go, But under a tall tree I will lie, And let the clouds go sailing by.;x
the_bath_song;The Bath Song;x
the_bath_song_desc;Sing hey! for the bath at close of day that washes the weary mud away! A loon is he that will not sing: O! Water Hot is a noble thing!;x
farewell_we_call_to_hearth_and_hall;Farewell We Call to Hearth and Hall!;x
farewell_we_call_to_hearth_and_hall_desc;Farewell we call to hearth and hall! Though wind may blow and rain may fall, We must away ere break of day, Far over wood and mountain tall.;x
wanderers_in_the_shadowed_land;O! Wanderers in the shadowed land;x
wanderers_in_the_shadowed_land_desc;O! Wanderers in the shadowed land despair not! For though dark they stand, all woods there be must end at last, and see the open sun go past: the setting sun, the rising sun, the day's end, or the day begun.;x
